Sl,Item,Quantity,Amount
480,PARLE MONACO CLASSIC REGULAR 200G,12,436.32
481,PARLE MONACO SIXER SALTED 200G,2,127.2
482,PARLE-G 100G,12,109.2
483,PARLE-G 200G,24,545.28
484,PARLE-G 800G,32,"2,617.92"
485,PARRYS WHITE LABEL SUGAR 1KG,26,"1,183.94"
486,PARRYS WHITE LABEL SUGAR 500G,6,135.12
487,PEPSI 1.25L,4,211.8
488,PEPSI 2.25LIT BOTTLE,4,311.28
489,PEPSI 250ML BOTTLE,10,160
490,PEPSI 250ML CAN,6,164.58
491,PEPSI 750ML BOTTLE,20,628.8
492,PLUM CAKE 400G,7,"1,050.00"
493,PLUM CAKE 800G,1,310
494,PRAN POTATA SPICY BISCUIT 100G,24,492
495,PRAN POTATO CREAM N ONION,6,126
496,PREDATOR ENERGY DRINK,6,242.22
497,PRINGLES POTATO CHIPS (GREEN) 110G,12,"1,254.48"
498,PRINGLES POTATO CHIPS (RED)110G,4,418.16
499,PUFS 1NO,435,"7,830.00"
500,QUAKER OATS PAC 1KG,3,547.68
501,RG GINGELLY OIL 500ML,3,340.8
502,RICH DAD CHOCOBAR,14,350.98
503,RICH DADSIPUP,40,312
504,ROUND BREAD 1NO,10,420
505,RUCHIYIDAM KACHA AAM 200,6,588
506,RUCHIYIDAM KACHA MANGO,6,318
507,RUCHIYIDAM MANGO BAR,12,636
508,RUCHIYIDAM MANGO BAR 200,12,"1,176.00"
509,RUSK 250G,58,"2,610.00"
510,RUSK 500G,205,"17,425.00"
511,SAMOSA,65,845
512,SEVEN UP 1.25 LIT BOTTLE,4,211.84
513,SEVEN UP 2.25LIT,11,856.02
514,SEVEN UP 250 ML BOTTLE,10,160
515,SEVEN UP 250ML CAN,6,164.58
516,SEVEN UP 750 ML BOTTLE,30,943.2
517,SLICE 1200ML,3,200.04
518,SLICE 600ML,8,275.12
519,SMOODH HAZELNUT TP 85ML,10,88
520,SMOODH TOFFEE CARAMEL 85ML,10,88
521,SNICKERS 15G,114,"1,036.26"
522,SNICKERS 1NO,32,566.4
523,SPRITE 1LTR,12,538.08
524,SPRITE 2.25L BOTTLE,14,"1,127.28"
525,SPRITE 250ML  BOTTLE,46,744.22
526,SPRITE 750ML BOTTLE,30,961.2
527,STING 250ML,10,160
528,STING 500ML,24,567.12
529,SUGAR LESS RUSK 500G,21,"1,890.00"
530,SUGER FREE GOLD,6,159.12
